Beam,hfit_min,Nf,EigCorrected,A11,A12,A22,Eig1_min,Eig2_max,MajorAxisAngle_deg,RMSElin,RMSEdB,Emax_dB,r1dB_m
"Elliptical Gaussian",0.8,2099,FAIL,42.9320863812898,0,119.255795503583,42.9320863812898,119.255795503583,0,6.82832622916772e-17,3.49238090787568e-16,1.33226762955019e-15,NaN
"Elliptical Gaussian",0.5,6527,FAIL,42.9320863812898,0,119.255795503583,42.9320863812898,119.255795503583,0,2.11155023013754e-16,1.52321567100372e-15,3.99680288865056e-15,NaN
"Elliptical Gaussian",0.25,13057,FAIL,42.9320863812897,0,119.255795503583,42.9320863812897,119.255795503583,0,1.01540573941089e-16,1.16674735152904e-15,4.44089209850063e-15,NaN
"Elliptical Gaussian",0.1,21703,FAIL,42.9320863812898,0,119.255795503583,42.9320863812898,119.255795503583,0,3.51918966864281e-16,6.75758519925302e-15,1.77635683940025e-14,NaN
"Rotated Elliptical Gaussian (\phi=30^\circ)",0.8,2099,FAIL,62.013013661863,-33.0491355054799,100.174868223009,42.9320863812898,119.255795503583,-150,6.52038581002245e-17,3.28233733157731e-16,1.33226762955019e-15,NaN
"Rotated Elliptical Gaussian (\phi=30^\circ)",0.5,6525,FAIL,62.0130136618629,-33.0491355054799,100.17486822301,42.9320863812897,119.255795503583,-150,2.11446622345837e-16,1.52389363401255e-15,6.21724893790088e-15,NaN
"Rotated Elliptical Gaussian (\phi=30^\circ)",0.25,13061,FAIL,62.0130136618629,-33.0491355054798,100.174868223009,42.9320863812897,119.255795503583,-150,3.02062681869173e-16,3.42978501065801e-15,1.15463194561016e-14,NaN
"Rotated Elliptical Gaussian (\phi=30^\circ)",0.1,21713,FAIL,62.0130136618629,-33.0491355054797,100.174868223009,42.9320863812898,119.255795503582,-150,3.87822789358071e-16,7.45407365659096e-15,2.66453525910038e-14,NaN
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.8,6283,FAIL,15.4883032760148,-8.29383936785488,25.0987252288642,10.708222186585,29.8788063182939,-150.043381768362,0.0226573129349804,0.107880061322555,0.244688194039898,0.0906511443749418
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.5,11101,FAIL,27.3519397723532,-14.5743173822145,44.2846906229993,18.9633384845499,52.6732919108026,-150.07637899725,0.0597191918393102,0.336816355184487,0.750456192323345,0.102737963624934
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.25,15681,FAIL,38.6794058864802,-20.5950415604721,62.4934622225773,26.7970865083627,74.3757816006948,-150.017182097571,0.0978591029396908,0.672038871132185,1.50898787361222,0.113961438642784
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.1,20215,FAIL,49.8294409885602,-26.547610213353,80.6155601506493,34.535013033058,95.9099881061515,-150.05318876982,0.133078599089229,1.11687530642438,2.50308843245803,0.05611737508925
"Sidelobed (sinc^2, \phi=30^\circ)",0.8,1257,FAIL,103.296024580389,-55.0440748018638,166.853993492174,71.5159496989927,198.634068373571,-149.999716241221,0.00049241203163369,0.00248914869742245,0.00906820692996313,0.0828810462856612
"Sidelobed (sinc^2, \phi=30^\circ)",0.5,3767,FAIL,106.067701714327,-56.5398067270669,171.378953247241,73.4306047704163,204.016050191151,-150.004693919059,0.00360441793587531,0.0245022013181181,0.0940697555913257,0.0854710789820881
"Sidelobed (sinc^2, \phi=30^\circ)",0.25,7125,FAIL,110.32490531062,-58.8304918786296,178.237755243196,76.354416824487,212.208243729329,-149.996575720747,0.0100961418769519,0.0993717975788316,0.387248424692538,0.0893561280267284
"Sidelobed (sinc^2, \phi=30^\circ)",0.1,10919,FAIL,116.067774797289,-61.8893116937317,187.530896853075,80.3358391614035,223.262832488961,-149.99991329894,0.0191053511324825,0.275205452681206,1.14105298786017,0.094104521303511
