Beam,eps_true,Method,eps_hat,Error_m
"Circular Gaussian",[0 0],Direct,[0 0],0
"Circular Gaussian",[0 0],EKF-1step,[0 0],0
"Circular Gaussian",[0 0],GaussNewton,[0 0],0
"Circular Gaussian",[0 0],Lookup,[0 0],0
"Circular Gaussian",[0.02158 0],Direct,[0.02158 0],1.04083408558608e-17
"Circular Gaussian",[0.02158 0],EKF-1step,[0.02158 0],5.88071258356138e-15
"Circular Gaussian",[0.02158 0],GaussNewton,[0.02158 0],3.46944695195361e-18
"Circular Gaussian",[0.02158 0],Lookup,[0.01943 0],0.00215836058035577
"Circular Gaussian",[0.01526 0.01526],Direct,[0.01526 0.01526],3.87895961444886e-18
"Circular Gaussian",[0.01526 0.01526],EKF-1step,[0.01526 0.01526],5.8645407884128e-15
"Circular Gaussian",[0.01526 0.01526],GaussNewton,[0.01526 0.01526],2.0888836804026e-17
"Circular Gaussian",[0.01526 0.01526],Lookup,[0.01295 0.01295],0.00326930897217413
"Circular Gaussian",[1.322e-18 0.02158],Direct,[0 0.02158],1.04919123497817e-17
"Circular Gaussian",[1.322e-18 0.02158],EKF-1step,[0 0.02158],5.88071273206935e-15
"Circular Gaussian",[1.322e-18 0.02158],GaussNewton,[0 0.02158],3.71264427815817e-18
"Circular Gaussian",[1.322e-18 0.02158],Lookup,[0 0.01943],0.00215836058035577
"Circular Gaussian",[-0.01526 0.01526],Direct,[-0.01526 0.01526],3.87895961444886e-18
"Circular Gaussian",[-0.01526 0.01526],EKF-1step,[-0.01526 0.01526],5.8645407884128e-15
"Circular Gaussian",[-0.01526 0.01526],GaussNewton,[-0.01526 0.01526],2.0888836804026e-17
"Circular Gaussian",[-0.01526 0.01526],Lookup,[-0.01295 0.01295],0.00326930897217413
"Circular Gaussian",[0.06475 0],Direct,[0.06475 0],1.38777878078145e-17
"Circular Gaussian",[0.06475 0],EKF-1step,[0.06475 0],1.76247905159244e-14
"Circular Gaussian",[0.06475 0],GaussNewton,[0.06475 0],2.77555756156289e-17
"Circular Gaussian",[0.06475 0],Lookup,[0.06475 0],0
"Circular Gaussian",[0.04579 0.04579],Direct,[0.04579 0.04579],6.93889390390723e-18
"Circular Gaussian",[0.04579 0.04579],EKF-1step,[0.04579 0.04579],1.76095689154776e-14
"Circular Gaussian",[0.04579 0.04579],GaussNewton,[0.04579 0.04579],6.93889390390723e-18
"Circular Gaussian",[0.04579 0.04579],Lookup,[0.04533 0.04533],0.000650778500830613
"Circular Gaussian",[3.965e-18 0.06475],Direct,[0 0.06475],1.44330517525646e-17
"Circular Gaussian",[3.965e-18 0.06475],EKF-1step,[0 0.06475],1.76247909618868e-14
"Circular Gaussian",[3.965e-18 0.06475],GaussNewton,[0 0.06475],2.80373316527871e-17
"Circular Gaussian",[3.965e-18 0.06475],Lookup,[0 0.06475],3.96484406420777e-18
"Circular Gaussian",[-0.04579 0.04579],Direct,[-0.04579 0.04579],6.93889390390723e-18
"Circular Gaussian",[-0.04579 0.04579],EKF-1step,[-0.04579 0.04579],1.76095689154776e-14
"Circular Gaussian",[-0.04579 0.04579],GaussNewton,[-0.04579 0.04579],6.93889390390723e-18
"Circular Gaussian",[-0.04579 0.04579],Lookup,[-0.04533 0.04533],0.000650778500830613
"Circular Gaussian",[0.1079 0],Direct,[0.1079 0],0
"Circular Gaussian",[0.1079 0],EKF-1step,[0.1079 0],2.93376434257198e-14
"Circular Gaussian",[0.1079 0],GaussNewton,[0.1079 0],1.38777878078145e-17
"Circular Gaussian",[0.1079 0],Lookup,[0.1101 0],0.00215836058035576
"Circular Gaussian",[0.07631 0.07631],Direct,[0.07631 0.07631],0
"Circular Gaussian",[0.07631 0.07631],EKF-1step,[0.07631 0.07631],2.9341102821653e-14
"Circular Gaussian",[0.07631 0.07631],GaussNewton,[0.07631 0.07631],2.77555756156289e-17
"Circular Gaussian",[0.07631 0.07631],Lookup,[0.0777 0.0777],0.0019677519705129
"Circular Gaussian",[6.608e-18 0.1079],Direct,[0 0.1079],6.60807344034629e-18
"Circular Gaussian",[6.608e-18 0.1079],EKF-1step,[0 0.1079],2.9337644169928e-14
"Circular Gaussian",[6.608e-18 0.1079],GaussNewton,[0 0.1079],1.53707393781735e-17
"Circular Gaussian",[6.608e-18 0.1079],Lookup,[0 0.1101],0.00215836058035576
"Circular Gaussian",[-0.07631 0.07631],Direct,[-0.07631 0.07631],0
"Circular Gaussian",[-0.07631 0.07631],EKF-1step,[-0.07631 0.07631],2.9341102821653e-14
"Circular Gaussian",[-0.07631 0.07631],GaussNewton,[-0.07631 0.07631],2.77555756156289e-17
"Circular Gaussian",[-0.07631 0.07631],Lookup,[-0.0777 0.0777],0.0019677519705129
"Elliptical Gaussian",[0 0],Direct,[0 0],0
"Elliptical Gaussian",[0 0],EKF-1step,[0 0],0
"Elliptical Gaussian",[0 0],GaussNewton,[0 0],0
"Elliptical Gaussian",[0 0],Lookup,[0 0],0
"Elliptical Gaussian",[0.02158 0],Direct,[0.02158 0],1.04083408558608e-17
"Elliptical Gaussian",[0.02158 0],EKF-1step,[0.02158 0],5.88071258356138e-15
"Elliptical Gaussian",[0.02158 0],GaussNewton,[0.02158 0],3.46944695195361e-18
"Elliptical Gaussian",[0.02158 0],Lookup,[0.01943 0],0.00215836058035577
"Elliptical Gaussian",[0.01526 0.01526],Direct,[0.01526 0.01526],1.73472347597681e-18
"Elliptical Gaussian",[0.01526 0.01526],EKF-1step,[0.01526 0.01526],5.50095283747377e-15
"Elliptical Gaussian",[0.01526 0.01526],GaussNewton,[0.01526 0.01526],7.35980840008019e-18
"Elliptical Gaussian",[0.01526 0.01526],Lookup,[0.01295 0.01554],0.00232843972095442
"Elliptical Gaussian",[1.322e-18 0.02158],Direct,[0 0.02158],7.0636332006554e-18
"Elliptical Gaussian",[1.322e-18 0.02158],EKF-1step,[0 0.02158],5.10355663744614e-15
"Elliptical Gaussian",[1.322e-18 0.02158],GaussNewton,[0 0.02158],3.71264427815817e-18
"Elliptical Gaussian",[1.322e-18 0.02158],Lookup,[0 0.02331],0.00172668846428461
"Elliptical Gaussian",[-0.01526 0.01526],Direct,[-0.01526 0.01526],3.46944695195361e-18
"Elliptical Gaussian",[-0.01526 0.01526],EKF-1step,[-0.01526 0.01526],5.4988446713718e-15
"Elliptical Gaussian",[-0.01526 0.01526],GaussNewton,[-0.01526 0.01526],1.81110447974006e-17
"Elliptical Gaussian",[-0.01526 0.01526],Lookup,[-0.01295 0.01554],0.00232843972095442
"Elliptical Gaussian",[0.06475 0],Direct,[0.06475 0],1.38777878078145e-17
"Elliptical Gaussian",[0.06475 0],EKF-1step,[0.06475 0],1.76247905159244e-14
"Elliptical Gaussian",[0.06475 0],GaussNewton,[0.06475 0],2.77555756156289e-17
"Elliptical Gaussian",[0.06475 0],Lookup,[0.06475 0],0
"Elliptical Gaussian",[0.04579 0.04579],Direct,[0.04579 0.04579],6.93889390390723e-18
"Elliptical Gaussian",[0.04579 0.04579],EKF-1step,[0.04579 0.04579],1.65147599132864e-14
"Elliptical Gaussian",[0.04579 0.04579],GaussNewton,[0.04579 0.04579],2.5018537765542e-17
