Beam,Alpha,Ptx_dBm,Method,Bias_x_m,Bias_y_m,RMSE_m,P95_m,Pdrop,Nvalid
"Elliptical Gaussian",0.2,10,Direct,-0.000215792447345312,-0.000171542370170957,0.00435615972888823,0.00895473364843734,0,30
"Elliptical Gaussian",0.2,10,EKF-1step,-0.000215792447345281,-0.000171542370168632,0.00435615972888587,0.00895473364844681,0,30
"Elliptical Gaussian",0.2,10,Lookup,-0.000784835264569824,-0.00217418221640617,0.0117693535736566,0.0170139672192057,0,30
"Elliptical Gaussian",0.4,10,Direct,-0.000464935555210074,0.000295317422716827,0.00297481923441571,0.00487928733918658,0,30
"Elliptical Gaussian",0.4,10,EKF-1step,-0.000464935555208359,0.00029531742271681,0.00297481923442199,0.00487928733925097,0,30
"Elliptical Gaussian",0.4,10,Lookup,-0.00093000077053761,0.00206107539441676,0.0108220170489443,0.0165528422698786,0,30
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.2,10,EKF-1step,-0.0794661462081474,-0.101459546558658,0.877073346233332,1.86318174769193,0,30
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.2,10,Lookup,-0.00267887020614882,-0.00205249945105654,0.0140658319717833,0.0341757477388505,0,30
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.4,10,EKF-1step,0.0219670243583036,0.0241470266801213,0.259576087586132,0.675703542601054,0,30
"Flat-top Super-Gaussian (p=4, \phi=30^\circ)",0.4,10,Lookup,-0.000267236160909595,-0.000497453785811693,0.00625919118383777,0.0140739201652085,0,30
